,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
94,05/12/2022,0,0,3816182.375,36244565.69999996,27698415.92499999,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
95,05/13/2022,0,0,3829139.6875,36299747.249999955,27729092.56249999,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
96,05/14/2022,0,0,3842097.0,36354928.79999995,27759769.199999988,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
97,05/15/2022,0,0,3855054.3125,36410110.34999995,27790445.837499987,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
98,05/16/2022,0,0,3868011.625,36465291.89999995,27821122.474999987,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
99,05/17/2022,0,0,3880968.9375,36520473.44999994,27851799.112499986,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
100,05/18/2022,0,0,3893926.25,36575654.99999994,27882475.749999985,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
101,05/19/2022,0,0,3906883.5625,36630836.54999994,27913152.387499984,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
102,05/20/2022,0,0,3919840.875,36686018.099999934,27943829.024999984,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
103,05/21/2022,0,0,3932798.1875,36741199.64999993,27974505.662499983,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
104,05/22/2022,0,0,3945755.5,36796381.19999993,28005182.299999982,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
105,05/23/2022,0,0,3958712.8125,36851562.749999925,28035858.93749998,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
106,05/24/2022,0,0,3971670.125,36906744.29999992,28066535.57499998,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
107,05/25/2022,0,0,3984627.4375,36961925.84999992,28097212.21249998,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
108,05/26/2022,0,0,3997584.75,37017107.39999992,28127888.84999998,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
109,05/27/2022,0,0,4010542.0625,37072288.94999991,28158565.48749998,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
110,05/28/2022,0,0,4023499.375,37127470.49999991,28189242.124999978,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
111,05/29/2022,0,0,4036456.6875,37182652.04999991,28219918.762499977,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
112,05/30/2022,0,0,4049414.0,37237833.599999905,28250595.399999976,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
113,05/31/2022,0,0,4062371.3125,37293015.1499999,28281272.037499975,33679844.125,0.0,30676.637499999255,55181.54999999702,12957.3125,0
114,06/01/2022,0,0,4094764.59375,37430969.0249999,28357963.631249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
115,06/02/2022,0,0,4127157.875,37568922.8999999,28434655.224999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
116,06/03/2022,0,0,4159551.15625,37706876.7749999,28511346.818749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
117,06/04/2022,0,0,4191944.4375,37844830.6499999,28588038.412499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
118,06/05/2022,0,0,4224337.71875,37982784.5249999,28664730.006249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
119,06/06/2022,0,0,4256731.0,38120738.3999999,28741421.599999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
120,06/07/2022,0,0,4289124.28125,38258692.2749999,28818113.193749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
121,06/08/2022,0,0,4321517.5625,38396646.1499999,28894804.787499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
122,06/09/2022,0,0,4353910.84375,38534600.0249999,28971496.381249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
123,06/10/2022,0,0,4386304.125,38672553.8999999,29048187.974999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
124,06/11/2022,0,0,4418697.40625,38810507.7749999,29124879.568749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
125,06/12/2022,0,0,4451090.6875,38948461.6499999,29201571.162499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
126,06/13/2022,0,0,4483483.96875,39086415.5249999,29278262.756249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
127,06/14/2022,0,0,4515877.25,39224369.3999999,29354954.349999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
128,06/15/2022,0,0,4548270.53125,39362323.2749999,29431645.943749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
129,06/16/2022,0,0,4580663.8125,39500277.1499999,29508337.537499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
130,06/17/2022,0,0,4613057.09375,39638231.0249999,29585029.131249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
131,06/18/2022,0,0,4645450.375,39776184.8999999,29661720.724999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
132,06/19/2022,0,0,4677843.65625,39914138.7749999,29738412.318749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
133,06/20/2022,0,0,4710236.9375,40052092.6499999,29815103.912499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
134,06/21/2022,0,0,4742630.21875,40190046.5249999,29891795.506249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
135,06/22/2022,0,0,4775023.5,40328000.3999999,29968487.099999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
136,06/23/2022,0,0,4807416.78125,40465954.2749999,30045178.693749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
137,06/24/2022,0,0,4839810.0625,40603908.1499999,30121870.287499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
138,06/25/2022,0,0,4872203.34375,40741862.0249999,30198561.881249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
139,06/26/2022,0,0,4904596.625,40879815.8999999,30275253.474999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
140,06/27/2022,0,0,4936989.90625,41017769.7749999,30351945.068749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
141,06/28/2022,0,0,4969383.1875,41155723.6499999,30428636.662499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
142,06/29/2022,0,0,5001776.46875,41293677.5249999,30505328.256249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
143,06/30/2022,0,0,5034169.75,41431631.3999999,30582019.849999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
144,07/01/2022,0,0,5066563.03125,41569585.2749999,30658711.443749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
145,07/02/2022,0,0,5098956.3125,41707539.1499999,30735403.037499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
146,07/03/2022,0,0,5131349.59375,41845493.0249999,30812094.631249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
147,07/04/2022,0,0,5163742.875,41983446.8999999,30888786.224999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
148,07/05/2022,0,0,5196136.15625,42121400.7749999,30965477.818749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
149,07/06/2022,0,0,5228529.4375,42259354.6499999,31042169.412499975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
150,07/07/2022,0,0,5260922.71875,42397308.5249999,31118861.006249975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
151,07/08/2022,0,0,5293316.0,42535262.3999999,31195552.599999975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
152,07/09/2022,0,0,5325709.28125,42673216.2749999,31272244.193749975,33679844.125,0.0,76691.59375,137953.875,32393.28125,0
