,date,school,work
214,09/23/2022,1,1
215,09/24/2022,1,0
216,09/25/2022,1,0
217,09/26/2022,1,1
218,09/27/2022,1,1
219,09/28/2022,1,1
220,09/29/2022,1,1
221,09/30/2022,1,1
222,10/01/2022,1,0
223,10/02/2022,1,0
224,10/03/2022,1,1
225,10/04/2022,1,1
226,10/05/2022,1,1
227,10/06/2022,1,1
228,10/07/2022,1,1
229,10/08/2022,1,0
230,10/09/2022,1,0
231,10/10/2022,1,1
232,10/11/2022,1,1
233,10/12/2022,1,1
234,10/13/2022,1,1
235,10/14/2022,1,1
236,10/15/2022,1,0
237,10/16/2022,1,0
238,10/17/2022,1,1
239,10/18/2022,1,1
240,10/19/2022,1,1
241,10/20/2022,1,1
242,10/21/2022,1,1
243,10/22/2022,1,0
244,10/23/2022,1,0
245,10/24/2022,1,1
246,10/25/2022,1,1
247,10/26/2022,1,1
248,10/27/2022,1,1
249,10/28/2022,1,1
250,10/29/2022,1,0
251,10/30/2022,1,0
252,10/31/2022,1,1
253,11/01/2022,1,1
254,11/02/2022,1,1
255,11/03/2022,1,1
256,11/04/2022,1,1
257,11/05/2022,1,0
258,11/06/2022,1,0
259,11/07/2022,1,1
260,11/08/2022,1,1
261,11/09/2022,1,1
262,11/10/2022,1,1
263,11/11/2022,1,1
264,11/12/2022,1,0
265,11/13/2022,1,0
266,11/14/2022,1,1
267,11/15/2022,1,1
268,11/16/2022,1,1
269,11/17/2022,1,1
270,11/18/2022,1,1
271,11/19/2022,1,0
272,11/20/2022,1,0
273,11/21/2022,1,1
274,11/22/2022,1,1
275,11/23/2022,1,1
276,11/24/2022,1,1
277,11/25/2022,1,1
278,11/26/2022,1,0
279,11/27/2022,1,0
280,11/28/2022,1,1
281,11/29/2022,1,1
282,11/30/2022,1,1
283,12/01/2022,1,1
284,12/02/2022,1,1
285,12/03/2022,1,0
286,12/04/2022,1,0
287,12/05/2022,1,1
288,12/06/2022,1,1
289,12/07/2022,1,1
290,12/08/2022,1,1
291,12/09/2022,1,1
292,12/10/2022,1,0
293,12/11/2022,1,0
294,12/12/2022,1,1
295,12/13/2022,1,1
296,12/14/2022,1,1
297,12/15/2022,1,1
298,12/16/2022,1,1
299,12/17/2022,1,0
300,12/18/2022,1,0
301,12/19/2022,1,1
302,12/20/2022,1,1
303,12/21/2022,1,1
304,12/22/2022,1,1
305,12/23/2022,1,1
306,12/24/2022,1,0
307,12/25/2022,1,0
308,12/26/2022,1,1
309,12/27/2022,1,1
310,12/28/2022,1,1
311,12/29/2022,1,1
312,12/30/2022,1,1
313,12/31/2022,1,0
314,01/01/2023,1,0
315,01/02/2023,1,1
316,01/03/2023,1,1
317,01/04/2023,1,1
318,01/05/2023,1,1
319,01/06/2023,1,1
320,01/07/2023,1,0
321,01/08/2023,1,0
322,01/09/2023,1,1
323,01/10/2023,1,1
324,01/11/2023,1,1
325,01/12/2023,1,1
326,01/13/2023,1,1
327,01/14/2023,1,0
328,01/15/2023,1,0
329,01/16/2023,1,1
330,01/17/2023,1,1
331,01/18/2023,1,1
332,01/19/2023,1,1
333,01/20/2023,1,1
334,01/21/2023,1,0
335,01/22/2023,1,0
336,01/23/2023,1,1
337,01/24/2023,1,1
338,01/25/2023,1,1
339,01/26/2023,1,1
340,01/27/2023,1,1
341,01/28/2023,1,0
342,01/29/2023,1,0
343,01/30/2023,1,1
344,01/31/2023,1,1
345,02/01/2023,1,1
346,02/02/2023,1,1
347,02/03/2023,1,1
348,02/04/2023,1,0
349,02/05/2023,1,0
350,02/06/2023,1,1
351,02/07/2023,1,1
352,02/08/2023,1,1
353,02/09/2023,1,1
354,02/10/2023,1,1
355,02/11/2023,1,0
356,02/12/2023,1,0
357,02/13/2023,1,1
358,02/14/2023,1,1
359,02/15/2023,1,1
360,02/16/2023,1,1
361,02/17/2023,1,1
362,02/18/2023,1,0
363,02/19/2023,1,0
364,02/20/2023,1,1
365,02/21/2023,1,1
366,02/22/2023,1,1
367,02/23/2023,1,1
